driverId,predicted_position,start_position,position,grid
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
1,2,19,2,2
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,7,8
4,11,19,12,8
4,11,19,12,8
4,11,19,12,8
4,11,19,12,8
4,11,19,12,8
4,11,19,12,8
4,11,19,12,8
4,11,19,12,8
4,11,19,10,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,8,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
4,11,19,9,8
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,10,18
8,14,19,9,18
8,14,19,8,18
8,14,19,7,18
8,14,19,7,18
8,14,19,7,18
8,14,19,7,18
8,14,19,7,18
8,14,19,7,18
8,14,19,7,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,14,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,13,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,12,18
8,14,19,11,18
8,14,19,11,18
8,14,19,11,18
8,14,19,11,18
